iter	Passed	Remaining
0	203	203139
1	204	102244
2	206	68485
3	207	51615
4	208	41456
5	209	34667
6	210	29795
7	210	26131
8	211	23257
9	212	21004
10	212	19129
11	213	17580
12	214	16274
13	215	15158
14	215	14176
15	216	13341
16	217	12591
17	218	11920
18	219	11323
19	219	10776
20	220	10288
21	221	9848
22	222	9446
23	223	9086
24	224	8749
25	225	8435
26	226	8160
27	227	7889
28	228	7646
29	229	7429
30	231	7227
31	232	7041
32	233	6855
33	234	6671
34	235	6502
35	236	6335
36	237	6180
37	238	6035
38	239	5893
39	239	5757
40	240	5632
41	241	5509
42	242	5389
43	242	5276
44	243	5167
45	244	5063
46	244	4964
47	245	4878
48	246	4790
49	247	4707
50	248	4618
51	249	4542
52	249	4465
53	250	4388
54	251	4314
55	251	4244
56	252	4177
57	253	4112
58	253	4050
59	255	4000
60	256	3949
61	257	3892
62	257	3837
63	258	3783
64	259	3731
65	260	3682
66	260	3632
67	261	3584
68	262	3539
69	263	3494
70	263	3450
71	265	3418
72	266	3383
73	268	3358
74	269	3320
75	269	3281
76	270	3245
77	271	3206
78	271	3170
79	272	3135
80	273	3101
81	273	3066
82	274	3033
83	275	3001
84	276	2976
85	277	2950
86	279	2929
87	279	2900
88	280	2870
89	281	2842
90	281	2815
91	282	2789
92	283	2763
93	283	2737
94	284	2712
95	285	2686
96	285	2661
97	286	2638
98	287	2620
99	289	2601
100	290	2584
101	291	2561
102	291	2539
103	291	2515
104	292	2495
105	293	2475
106	294	2455
107	294	2434
108	295	2415
109	296	2395
110	296	2376
111	297	2358
112	298	2341
113	299	2327
114	301	2320
115	302	2303
116	303	2287
117	303	2270
118	304	2254
119	305	2239
120	305	2222
121	306	2207
122	307	2191
123	307	2175
124	308	2160
125	309	2148
126	310	2136
127	312	2130
128	313	2118
129	314	2102
130	314	2088
131	315	2075
132	316	2061
133	316	2048
134	317	2034
135	318	2021
136	318	2008
137	319	1995
138	319	1980
139	320	1970
140	321	1960
141	323	1955
142	324	1946
143	325	1934
144	325	1921
145	326	1909
146	327	1898
147	327	1887
148	328	1875
149	329	1864
150	329	1853
151	330	1842
152	331	1833
153	332	1826
154	333	1820
155	338	1830
156	339	1822
157	340	1813
158	342	1809
159	344	1806
160	344	1796
161	345	1787
162	346	1777
163	346	1767
164	347	1758
165	348	1749
166	349	1740
167	351	1740
168	352	1735
169	353	1727
170	355	1721
171	357	1719
172	358	1714
173	359	1707
174	360	1699
175	361	1690
176	362	1683
177	363	1676
178	364	1671
179	365	1663
180	365	1655
181	366	1647
182	367	1640
183	368	1632
184	368	1624
185	369	1616
186	369	1608
187	370	1600
188	371	1593
189	371	1585
190	373	1582
191	374	1577
192	376	1574
193	377	1567
194	377	1560
195	378	1552
196	379	1545
197	380	1539
198	380	1532
199	381	1525
200	382	1518
201	382	1511
202	383	1505
203	384	1501
204	385	1496
205	387	1494
206	388	1488
207	389	1482
208	389	1475
209	390	1470
210	391	1463
211	392	1457
212	392	1451
213	393	1444
214	394	1438
215	394	1432
216	395	1427
217	396	1422
218	397	1417
219	398	1413
220	399	1407
221	400	1402
222	400	1396
223	401	1390
224	402	1385
225	403	1380
226	404	1375
227	404	1371
228	405	1366
229	406	1362
230	408	1360
231	409	1355
232	410	1350
233	410	1344
234	411	1339
235	412	1334
236	412	1329
237	413	1324
238	414	1319
239	415	1314
240	415	1309
241	416	1304
242	417	1299
243	418	1298
244	420	1296
245	421	1292
246	422	1287
247	422	1282
248	423	1277
249	424	1273
250	425	1268
251	425	1263
252	426	1258
253	426	1254
254	427	1249
255	428	1244
256	429	1242
257	430	1238
258	432	1237
259	433	1232
260	433	1228
261	434	1223
262	435	1219
263	436	1215
264	436	1211
265	437	1207
266	438	1202
267	438	1198
268	439	1194
269	440	1190
270	441	1188
271	443	1186
272	444	1182
273	444	1178
274	445	1174
275	448	1177
276	449	1172
277	449	1168
278	450	1164
279	451	1160
280	451	1156
281	453	1154
282	454	1151
283	455	1148
284	456	1144
285	456	1140
286	457	1136
287	458	1133
288	458	1129
289	459	1125
290	460	1121
291	460	1117
292	461	1113
293	462	1109
294	462	1105
295	464	1104
296	466	1103
297	466	1099
298	467	1096
299	468	1092
300	469	1089
301	469	1085
302	470	1081
303	470	1078
304	471	1074
305	472	1071
306	473	1067
307	473	1064
308	475	1062
309	476	1060
310	477	1058
311	478	1055
312	479	1051
313	479	1048
314	480	1044
315	481	1042
316	482	1040
317	483	1037
318	485	1036
