iter	Passed	Remaining
0	202	202050
1	207	103399
2	211	70189
3	215	53578
4	219	43733
5	223	37033
6	227	32274
7	232	28844
8	236	26077
9	240	23828
10	245	22031
11	249	20549
12	253	19266
13	258	18201
14	263	17307
15	267	16457
16	275	15945
17	279	15264
18	284	14678
19	289	14193
20	293	13704
21	298	13259
22	307	13046
23	312	12701
24	321	12540
25	334	12536
26	339	12246
27	344	11952
28	351	11768
29	356	11539
30	361	11294
31	366	11072
32	371	10885
33	376	10692
34	379	10451
35	381	10225
36	383	9993
37	386	9790
38	390	9614
39	392	9411
40	394	9219
41	395	9029
42	397	8847
43	399	8672
44	401	8519
45	406	8436
46	410	8317
47	415	8237
48	417	8097
49	420	7995
50	423	7878
51	425	7757
52	427	7640
53	429	7519
54	431	7410
55	435	7334
56	436	7226
57	438	7124
58	440	7029
59	442	6930
60	444	6837
61	445	6745
62	448	6665
63	451	6598
64	452	6515
65	454	6434
66	456	6352
67	457	6273
68	458	6193
69	460	6115
70	461	6042
71	463	5976
72	465	5906
73	466	5838
74	468	5772
75	469	5711
76	471	5650
77	472	5590
78	475	5541
79	476	5484
80	479	5435
81	480	5383
82	481	5324
83	483	5275
84	485	5229
85	487	5181
86	488	5131
87	491	5089
88	494	5059
89	496	5019
90	499	4986
91	501	4952
92	503	4912
93	507	4894
94	509	4856
95	511	4816
96	513	4779
97	515	4742
98	517	4705
99	519	4671
100	523	4655
101	525	4623
102	527	4590
103	528	4555
104	530	4520
105	532	4493
106	540	4514
107	543	4489
108	545	4460
109	548	4434
110	553	4432
111	556	4412
112	558	4385
113	560	4357
114	562	4330
115	571	4356
116	573	4329
117	577	4317
118	581	4306
119	586	4299
120	589	4282
121	591	4257
122	594	4236
123	600	4243
124	602	4220
125	607	4212
126	609	4189
127	615	4196
128	618	4174
129	620	4154
130	622	4132
131	626	4116
132	631	4115
133	633	4094
134	636	4079
135	638	4059
136	644	4059
137	647	4043
138	649	4024
139	652	4007
140	654	3986
141	655	3959
142	659	3953
143	661	3932
144	663	3910
145	665	3893
146	667	3872
147	669	3851
148	673	3844
149	675	3826
150	677	3807
151	678	3788
152	681	3770
153	682	3751
154	684	3731
155	687	3719
156	690	3704
157	691	3687
158	694	3674
159	696	3656
160	697	3636
161	700	3625
162	703	3612
163	705	3595
164	707	3578
165	708	3561
166	710	3544
167	712	3526
168	713	3509
169	715	3494
170	717	3478
171	718	3460
172	720	3444
173	722	3427
174	723	3411
175	725	3394
176	726	3377
177	727	3361
178	730	3348
179	732	3337
180	734	3322
181	735	3307
182	737	3292
183	739	3277
184	740	3262
185	741	3246
186	743	3231
187	746	3222
188	747	3207
189	748	3193
190	750	3180
191	752	3166
192	753	3151
193	755	3138
194	756	3124
195	758	3113
196	760	3101
197	762	3089
198	764	3077
199	766	3065
200	767	3052
201	769	3040
202	771	3029
203	773	3019
204	776	3010
205	777	2998
206	780	2988
207	781	2975
208	783	2966
209	785	2955
210	787	2943
211	789	2935
212	791	2925
213	793	2913
214	794	2902
215	796	2890
216	798	2879
217	799	2869
218	802	2862
219	805	2856
220	807	2847
221	809	2836
222	810	2825
223	813	2816
224	814	2805
225	816	2794
226	818	2785
227	820	2776
228	821	2766
229	823	2755
230	824	2744
231	826	2734
232	827	2725
233	829	2714
234	830	2704
235	833	2698
236	835	2688
237	836	2678
238	838	2668
239	839	2658
240	841	2650
241	843	2641
242	844	2631
243	845	2621
244	848	2615
245	850	2606
